courseid|userid|created_stamp|INSTANCECODE
`000ewLdk`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`002-ja`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`003-ja`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`004-JA`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`009osHCm`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`00g01dme`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`00K4lASW`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`00S58txW`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`00v8oTI0`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`00wn4q4m`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`01anQr4P`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`01py3K3I`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`01YWaH2D`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`02C6Nys2`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`02JvGdlb`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`02tuLKFx`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`02uK0pqA`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`02WgrRGa`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`02Zepg2p`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`033j6xJW`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`03K373W2`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`03NxpeSF`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`03OpPOXz`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`03rrvGPf`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`03y2qgXX`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`04aHQVyq`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`04enRYuw`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`04mnYtrL`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`04ufEtvE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`06GHH0BO`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`06SDnue6`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`06wxoxM`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`06XbSZh8`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`06y3sydA`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0721r0kz`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0723X9yL`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`078ynYxe`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`07B7NICm`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`07gZovHE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`07jbRReS`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`07pSuePy`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`07vEJcoJ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`07ZzG2xu`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`08OS1Ptm`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`08ZmqUou`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`09i4dRVI`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`09IfL9xN`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`09OrbmvZ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`09yob3L6`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0a1D1gqc`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0A4xFKu`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0A5lp6to`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0ABImFLp`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0aDYzDEE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Aj6scgQ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0aKyeCbQ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Ap1EcEx`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0AP3XrDh`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0AsaLv3P`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0ayaGmS5`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0b6Kio4F`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0B8rwZ6t`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0batuE2c`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0bO8pT5K`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0bRY8t1`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0bT2zUjW`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0bXW2v2O`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0CawywBA`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0cGatsf0`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0cK3BLZE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Cld6jsY`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0ClfccG`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Cnb9Gfs`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0CRLOhwt`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0cybN89x`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0d58mxZG`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0DbVV54z`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0DCOBKKV`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0dkQ6gzB`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0dWwvYdd`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0E0Xg0s9`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0EIstpeR`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0ej05jrW`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0EMH2ebn`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0eV4RjxE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0eVLGaJQ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0F4RjFBx`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0f9XAaN2`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Fbe2jvJ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Fbg8y5m`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Fdq9uVJ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Fesf9KZ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0FHbhHMA`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0FjktgpQ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0FKCPQ7T`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0FqraBil`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
